make_model,hp_kW,km,age,Gearing_Type,Gears,Fuel,price
291,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
292,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
293,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
294,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
295,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
296,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
297,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
298,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
299,Audi A1,70.0,10000.0,3.0,Automatic,7.0,Benzine,14250
300,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
301,Audi A1,66.0,49466.0,3.0,Automatic,7.0,Diesel,14450
302,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
303,Audi A1,70.0,48800.0,3.0,Automatic,7.0,Benzine,14470
304,Audi A1,85.0,94300.0,3.0,Automatic,7.0,Diesel,14350
305,Audi A1,70.0,18600.0,3.0,Automatic,7.0,Benzine,14210
306,Audi A1,66.0,67278.0,3.0,Automatic,7.0,Diesel,14300
307,Audi A1,66.0,69850.0,3.0,Automatic,7.0,Diesel,13892
308,Audi A1,85.0,46000.0,3.0,Automatic,7.0,Diesel,13990
309,Audi A1,70.0,10000.0,3.0,Automatic,7.0,Benzine,13950
310,Audi A1,66.0,108000.0,3.0,Automatic,7.0,Diesel,13900
311,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
312,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
313,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
314,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
315,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
316,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
317,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
318,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
319,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
320,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
321,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
322,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
323,Audi A1,70.0,35367.0,3.0,Automatic,7.0,Benzine,14990
324,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
325,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
326,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
327,Audi A1,85.0,78000.0,2.0,Automatic,7.0,Diesel,15000
328,Audi A1,85.0,137066.0,3.0,Automatic,7.0,Diesel,14998
329,Audi A1,85.0,34000.0,3.0,Automatic,7.0,Diesel,14990
330,Audi A1,70.0,9600.0,2.0,Automatic,7.0,Benzine,14990
331,Audi A1,66.0,88800.0,3.0,Automatic,7.0,Diesel,13880
332,Audi A1,66.0,59150.0,3.0,Automatic,7.0,Diesel,13500
333,Audi A1,66.0,110375.0,3.0,Automatic,7.0,Diesel,13480
334,Audi A1,70.0,26310.0,1.0,Automatic,7.0,Benzine,13450
335,Audi A1,70.0,65000.0,3.0,Automatic,7.0,Benzine,13250
336,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
337,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
338,Audi A1,66.0,58380.0,3.0,Automatic,7.0,Diesel,13599
339,Audi A1,66.0,49351.0,3.0,Automatic,7.0,Diesel,14990
